Date,Price,Open,High,Low,Change %,DailyStockOpen/PrevDayOpen,DailyHighestPrice/StockOpenP,DailyLowest/StockOpen,TDailyStockOpen/PrevClose,Outcome
16-Dec-19,70.915,70.755,71.047,70.755,0.17%,#VALUE!,1.004126917,1,#VALUE!,1
13-Dec-19,70.798,70.553,70.883,70.503,0.32%,0.997145078,1.004677335,0.999291313,0.994895297,1
12-Dec-19,70.57,70.67,70.91,70.531,-0.20%,1.001658328,1.003396066,0.998033112,0.998192039,0
11-Dec-19,70.71,70.823,70.942,70.71,-0.14%,1.002164992,1.001680245,0.998404473,1.003585093,0
10-Dec-19,70.81,70.962,71.043,70.808,-0.23%,1.001962639,1.001141456,0.997829824,1.003563852,0
9-Dec-19,70.97,71.3,71.3,70.97,-0.44%,1.004763113,1,0.995371669,1.006919927,0
6-Dec-19,71.283,71.245,71.446,71.174,0.04%,0.999228612,1.002821251,0.999003439,1.003874877,1
5-Dec-19,71.252,71.505,71.677,71.18,-0.31%,1.003649379,1.002405426,0.995454863,1.003114347,0
4-Dec-19,71.474,71.803,71.823,71.452,-0.37%,1.004167541,1.00027854,0.995111625,1.007733116,0
3-Dec-19,71.74,71.63,71.816,71.532,0.15%,0.99759063,1.002596677,0.998631858,1.002182612,1
2-Dec-19,71.634,71.795,71.825,71.603,-0.16%,1.002303504,1.000417856,0.997325719,1.000766657,0
29-Nov-19,0,71.613,71.872,71.603,0.34%,0.997465005,1.003616662,0.999860361,0.999706843,1
28-Nov-19,71.505,71.245,71.665,71.235,0.34%,0.994861268,1.005895151,0.999859639,#DIV/0!,1
27-Nov-19,71.26,71.45,71.493,71.233,-0.31%,1.002877395,1.000601819,0.996962911,0.999230823,0
26-Nov-19,71.48,71.684,71.69,71.48,-0.29%,1.003275017,1.000083701,0.997154177,1.005950042,0
25-Nov-19,71.689,71.695,71.763,71.61,-0.14%,1.000153451,1.000948462,0.998814422,1.003007834,0
22-Nov-19,71.792,71.756,71.876,71.662,0.06%,1.000850826,1.001672334,0.998690005,1.000934592,1
21-Nov-19,71.75,71.79,71.905,71.717,0.01%,1.000473828,1.001601894,0.998983145,0.999972142,1
20-Nov-19,71.746,71.833,71.916,71.643,-0.12%,1.000598969,1.001155458,0.997354976,1.001156794,0
19-Nov-19,71.83,71.92,72.015,71.605,-0.16%,1.001211143,1.001320912,0.995620133,1.002425222,0
18-Nov-19,0,71.665,71.945,71.565,0.41%,0.996454394,1.003907068,0.998604619,0.99770291,1
15-Nov-19,71.65,71.8,71.878,71.594,-0.44%,1.001883765,1.001086351,0.997130919,#DIV/0!,0
14-Nov-19,71.966,72.082,72.252,71.857,-0.26%,1.003927577,1.002358425,0.996878555,1.006029309,0
13-Nov-19,72.15,71.76,72.15,71.657,0.50%,0.995532865,1.005434783,0.99856466,0.997137537,1
12-Nov-19,71.79,71.582,71.79,71.544,0.31%,0.997519509,1.002905758,0.99946914,0.992127512,1
11-Nov-19,71.57,71.37,71.61,71.29,0.29%,0.997038362,1.003362757,0.998879081,0.994149603,1
8-Nov-19,71.36,71.28,71.364,71.165,0.44%,0.998738966,1.001178451,0.998386644,0.995948023,1
7-Nov-19,71.047,71.018,71.118,70.886,0.05%,0.996324355,1.001408094,0.998141316,0.995207399,1
6-Nov-19,71.01,70.769,71.036,70.769,0.33%,0.996493847,1.003772838,1,0.996087097,1
5-Nov-19,70.775,70.804,70.855,70.625,-0.02%,1.000494567,1.000720298,0.997471894,0.997099,0
4-Nov-19,70.789,70.552,70.802,70.552,0.04%,0.996440879,1.003543486,1,0.99684917,1
1-Nov-19,70.76,70.972,70.99,70.76,-0.31%,1.005953056,1.000253621,0.997012906,1.002585147,0
31-Oct-19,70.98,70.762,71.065,70.724,0.04%,0.997041087,1.004281959,0.999462989,1.000028265,1
30-Oct-19,70.953,70.871,71.026,70.84,0.09%,1.001540375,1.002187072,0.999562586,0.998464356,1
29-Oct-19,70.89,70.75,70.92,70.69,0.20%,0.998292673,1.002402827,0.999151943,0.997138951,1
